"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
53,60,62,55,77,68,84,83,65,87,50,85,77,82,67,77,84,54,86,75,79,39,85,77,28,16,84,67,67,9,11,13,15,15,"80","28","71","79","63","72","13","2023-07-01","2025-06-01",0,8,"Bosnia and Herzegovina","Edin","Džeko","Džeko","Edin Džeko",10498,10306,10306,180930,2036,82,82,"1986-03-17T00:00:00.000Z",38,326,"Fenerbahçe",68,10,4,"fenerbahce",9,68,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p180930.png",5,5,2,21,4,"Right",3,5,3,1,,193,80,"Male",,,"Yes","No",11500000,10500000,9000000,63000,58000,49500,"Finesse Shot, Incisive Pass, Technical","Career Team Player, Career Leadership","57","80","70","74","44","74","ST","-",true,false,false,"edin-dzeko",20,57,54,54,61,75,74,77,78,75,80
80,83,73,77,86,69,73,82,73,76,40,86,71,79,55,78,80,58,80,57,78,34,85,78,33,32,80,70,88,6,8,15,6,12,"75","33","69","79","79","73","10","2024-07-12","2026-06-01",0,27,"Italy","Ciro","Immobile","Immobile","Ciro Immobile",7524,16600,16600,192387,2081,82,82,"1990-02-20T00:00:00.000Z",34,327,"Beşiktaş",68,9,4,"besiktas",17,68,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192387.png",2,1,2,2517,305,"Right",3,4,3,1,30400000,185,85,"Male",,,"Yes","No",16000000,15000000,12500000,83000,76000,64000,"Finesse Shot, Power Shot, Press Proven","Career Team Player","82","83","65","78","44","75","ST","-",true,false,false,"ciro-immobile",16,58,56,54,58,75,70,77,79,77,80
65,85,43,33,88,74,89,81,83,75,81,50,64,70,50,69,43,39,81,64,71,82,67,38,83,81,48,53,50,7,11,7,5,13,"59","82","59","72","62","68","9","2023-07-01","2026-06-01",0,136,"Senegal","Kalidou","Koulibaly","Koulibaly","Kalidou Koulibaly",19054,20521,20521,201024,1943,82,82,"1991-06-20T00:00:00.000Z",33,605,"Al Hilal",350,10,1,"al-hilal",3,350,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p201024.png",0,9,10,3002,336,"Right",3,4,3,0,,186,89,"Male",,,"Yes","No",16000000,14500000,12500000,61000,56000,47500,"Power Header, Block, Anticipate, Bruiser","","75","49","57","62","82","84","CB","-",true,false,false,"kalidou-koulibaly",16,74,75,81,76,65,67,63,64,62,64
81,75,85,58,81,73,75,80,72,77,41,84,78,86,78,82,85,88,80,79,80,38,88,88,45,38,84,89,80,13,11,13,10,12,"82","41","85","81","76","72","12","2025-01-27","2026-06-01",0,54,"Brazil","Anderson","Souza Conceição","A. Talisca","Anderson Talisca",2015,35440,102,212523,2227,82,82,"1994-02-01T00:00:00.000Z",30,326,"Fenerbahçe",68,10,4,"fenerbahce",94,68,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p212523.png",4,3,8,1005,4,"Left",4,4,3,0,,191,75,"Male",,,"No","No",32000000,29500000,25000000,77000,71000,60000,"Finesse Shot, Power Header, Trivela, Acrobatic","","78","85","82","78","48","75","CAM","ST | RW",true,false,false,"anderson-souza-conceicao",19,64,61,58,63,80,77,81,82,81,82
55,61,52,54,89,71,91,83,91,75,14,88,72,80,45,70,87,52,92,55,72,25,86,70,24,13,82,51,71,15,12,6,13,7,"76","21","62","82","61","69","11","2023-08-19","2026-06-01",0,51,"Serbia","Aleksandar","Mitrović","Mitrović","Aleksandar Mitrović",1445,25902,25902,215716,1924,82,82,"1994-09-16T00:00:00.000Z",29,605,"Al Hilal",350,10,1,"al-hilal",9,350,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p215716.png",0,9,2,604,6,"Right",3,4,3,0,,189,90,"Male",,,"Yes","No",33000000,30500000,26000000,69000,63000,54000,"Power Shot, Power Header, Aerial","Career Team Player","58","81","58","69","34","86","ST","-",true,false,false,"aleksandar-mitrovic",19,48,45,50,52,70,67,73,77,71,81
72,81,57,55,92,84,90,82,74,82,36,83,73,82,66,75,85,60,82,59,76,39,83,76,23,21,78,74,70,15,12,8,8,15,"78","28","70","85","70","70","12","2024-08-03","2028-06-01",0,36,"Norway","Alexander","Sørloth","Sørloth","Alexander Sørloth",1487,36241,36241,216549,2068,82,82,"1995-12-05T00:00:00.000Z",28,240,"Atlético de Madrid",53,9,4,"atletico-de-madrid",9,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p216549.png",19,2,1,5,5,"Left",3,4,3,0,,195,94,"Male",,,"Yes","No",34000000,31000000,26500000,97000,89000,75000,"Power Shot, Power Header, Flair, Aerial","","77","79","68","72","40","85","ST","-",true,false,false,"alexander-sorloth",19,58,55,54,58,76,71,76,79,77,81
92,85,90,92,83,88,72,80,53,77,26,83,80,84,78,84,78,78,67,75,82,51,82,80,45,27,75,82,70,8,14,15,9,7,"76","41","81","81","88","65","11","2023-07-26","2027-06-01",0,54,"Brazil","Malcom Filipe","Silva de Oliveira","Malcom","Malcom",23709,34829,23707,222737,2192,82,82,"1997-02-26T00:00:00.000Z",27,605,"Al Hilal",350,10,1,"al-hilal",77,350,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p222737.png",0,9,7,563,3,"Left",4,3,3,0,,172,74,"Male",,,"No","No",35500000,32500000,27500000,62000,57000,48500,"Incisive Pass, Rapid, Flair, Relentless","Career Solid Player","89","78","79","85","43","74","CAM","RM",true,false,false,"malcom-filipe-silva-de-oliveira",17,64,61,54,61,82,76,82,82,82,79
82,70,71,77,83,79,65,83,74,73,79,70,59,84,79,78,50,83,77,75,79,81,68,70,80,79,38,70,39,12,7,10,12,11,"65","80","78","73","77","66","11","2019-07-01","2026-06-01",0,21,"Germany","Carolin","Simon","Simon","Carolin Simon",6533,34874,34874,239344,2147,81,81,"1992-11-24T00:00:00.000Z",31,115995,"Bayern München",2215,10,1,"bayern-munchen",30,2215,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p239344.png",15,8,4,9001,2,"Left",4,4,3,2,,173,66,"Female",,,"Yes","No",20500000,18500000,16000000,4700,4300,3700,"Dead Ball, Whipped Pass, Bruiser, Trivela, Long Throw","","76","56","74","78","79","75","LB","-",true,false,false,"carolin-simon",18,79,79,77,78,75,75,73,72,73,69
82,83,83,72,63,77,53,78,63,78,39,80,80,80,80,80,74,76,45,77,80,60,78,77,39,37,72,80,81,9,7,15,12,6,"71","46","79","70","80","71","10","2023-01-17","2027-06-01",0,49,"Ukraine","Viktor","Tsygankov","Tsygankov","Viktor Tsygankov",38806,37773,37773,244369,2096,81,81,"1997-11-15T00:00:00.000Z",26,110062,"Girona FC",53,1,2,"girona-fc",8,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p244369.png",12,5,1,1,1,"Left",4,4,3,1,100000000,178,73,"Male",,,"Yes","No",30500000,28000000,24000000,45000,41500,35000,"Technical, Flair, Quick Step","Career Team Player, Career Injury Prone","83","77","79","79","44","64","RM","RW | CAM",true,false,false,"viktor-tsygankov",16,65,61,52,62,79,74,79,78,79,73
72,73,80,83,67,75,57,80,48,64,58,80,83,86,77,84,76,81,58,77,84,62,73,76,72,55,75,68,70,12,5,13,6,9,"74","63","80","70","78","68","9","2024-01-24","2025-06-01",0,167,"Korea Republic","So Yun","Ji","Ji","Ji So Yun",35144,17895,17895,266549,2139,81,81,"1991-02-21T00:00:00.000Z",33,116300,"Seattle Reign FC",2221,8,5,"seattle-reign-fc",91,2221,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p266549.png",0,9,2,6016,8,"Right",5,3,3,0,,161,52,"Female",,,"Yes","No",17500000,16000000,13500000,11500,10500,8900,"Tiki Taka, First Touch","","73","75","78","80","61","62","CAM","CDM",true,false,false,"so-yun-ji",16,72,69,63,71,80,79,81,79,80,75
