"attributes.acceleration","attributes.sprintspeed","attributes.agility","attributes.balance","attributes.jumping","attributes.stamina","attributes.strength","attributes.reactions","attributes.aggression","attributes.composure","attributes.interceptions","attributes.positioning","attributes.vision","attributes.ballcontrol","attributes.crossing","attributes.dribbling","attributes.finishing","attributes.freekickaccuracy","attributes.headingaccuracy","attributes.longpassing","attributes.shortpassing","attributes.marking","attributes.shotpower","attributes.longshots","attributes.standingtackle","attributes.slidingtackle","attributes.volleys","attributes.curve","attributes.penalties","attributes.gkdiving","attributes.gkhandling","attributes.gkkicking","attributes.gkreflexes","attributes.gkpositioning","stats.attack","stats.defending","stats.skill","stats.power","stats.movement","stats.mentality","stats.goalkeeper","info.contract.jointeamdate","info.contract.enddate","info.contract.isloanedout","info.nation.id","info.nation.name","info.name.firstname","info.name.lastname","info.name.playerjerseyname","info.name.knownas","info.name.firstnameid","info.name.lastnameid","info.name.playerjerseynameid","info.playerid","info.total_attributes","info.overallrating","info.potential","info.birthdate","info.age","info.teams.club_team.id","info.teams.club_team.name","info.teams.club_team.leagueid","info.teams.club_team.domesticprestige","info.teams.club_team.profitability","info.teams.club_team.slug","info.teams.club_team.jerseynumber","info.league","info.headshot","info.haircolor","info.eyecolor","info.skintone","info.headtype","info.bodytype","info.preferredfoot","info.skillmoves","info.weafoot","info.internationalrep","info.ovrmodifier","info.release_clause","info.height","info.weight","info.gender","info.defensiveworkrate","info.attackingworkrate","info.real_face","info.isretiring","info.valueUSD","info.valueEUR","info.valueGBP","info.wageUSD","info.wageEUR","info.wageGBP","info.traits.trait1","info.traits.trait2","card_attrs.pac","card_attrs.sho","card_attrs.pas","card_attrs.dri","card_attrs.def","card_attrs.phy","primary_position","other_positions","updated","added","removed","slug","real_ovrs.0","real_ovrs.1","real_ovrs.2","real_ovrs.3","real_ovrs.4","real_ovrs.5","real_ovrs.6","real_ovrs.7","real_ovrs.8","real_ovrs.9","real_ovrs.10"
76,75,77,83,92,76,89,89,81,87,49,90,81,90,76,85,92,84,88,70,84,35,89,82,42,19,86,79,90,15,6,12,10,8,"86","32","82","86","80","80","11","2022-07-18","2026-06-01",0,37,"Poland","Robert","Lewandowski","Lewandowski","Robert Lewandowski",32091,21956,21956,188545,2287,89,89,"1988-08-21T00:00:00.000Z",35,241,"FC Barcelona",53,10,8,"fc-barcelona",9,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p188545.png",0,8,2,2507,276,"Right",4,4,5,1,,185,81,"Male",,,"Yes","No",48000000,44000000,37500000,230000,210000,180000,"Finesse Shot, Power Shot, Power Header, Incisive Pass, First Touch, Trivela","Career Solid Player","76","88","79","85","47","85","ST","-",false,false,false,"robert-lewandowski",18,64,60,60,65,83,79,84,86,84,87
42,52,63,45,68,38,70,88,23,66,15,13,44,23,14,13,14,20,13,35,33,20,57,17,18,16,12,19,27,85,89,76,90,88,"18","18","22","50","58","32","86","2018-08-09","2026-06-01",0,7,"Belgium","Thibaut","Courtois","Courtois","Thibaut Courtois",37004,7984,7984,192119,1406,89,89,"1992-05-11T00:00:00.000Z",32,243,"Real Madrid",53,10,5,"real-madrid",1,53,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192119.png",3,3,2,30,13,"Left",1,3,5,2,,200,96,"Male",,,"Yes","No",55500000,51000000,43500000,240000,220000,185000,"Far Throw","Cross Claimer","47","23","28","50","16","50","GK","-",false,false,false,"thibaut-courtois",87,29,29,29,31,30,32,32,31,29,31
67,67,73,75,71,70,75,90,75,87,66,87,94,91,94,85,84,83,55,93,93,66,92,90,70,53,83,93,83,15,13,5,13,10,"82","63","89","80","75","82","12","2015-08-30","2025-06-01",0,7,"Belgium","Kevin","De Bruyne","De Bruyne","Kevin De Bruyne",19738,8874,8874,192985,2361,89,89,"1991-06-28T00:00:00.000Z",33,10,"Manchester City",13,10,1,"manchester-city",17,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192985.png",2,8,2,12,321,"Right",4,5,5,1,,181,75,"Male",,,"Yes","No",69000000,63500000,54000000,300000,270000,230000,"Dead Ball, Incisive Pass, Pinged Pass, Whipped Pass, Trivela","Career Injury Prone, Career Leadership","67","87","92","84","62","73","CM","CAM",false,false,false,"kevin-de-bruyne",20,76,72,69,78,85,87,87,86,85,82
64,65,66,73,87,75,86,94,80,92,42,94,86,87,80,80,95,69,91,79,86,46,94,89,46,38,89,82,95,8,10,11,11,14,"89","44","80","87","73","82","11","2023-08-12","2027-06-01",0,14,"England","Harry","Kane","Kane","Harry Kane",15095,19176,19176,202126,2304,90,90,"1993-07-28T00:00:00.000Z",30,21,"Bayern München",19,10,6,"bayern-munchen",9,19,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p202126.png",5,2,3,1,368,"Right",3,4,5,1,,188,86,"Male",,,"Yes","No",128000000,117500000,99500000,185000,170000,145000,"Power Header, Incisive Pass, Long Ball Pass, First Touch, Trivela","","65","93","80","82","53","82","ST","-",false,false,false,"harry-kane",19,65,63,63,68,82,81,85,86,83,88
66,87,54,50,89,75,93,90,85,90,91,47,70,77,53,70,52,70,88,86,80,91,81,64,91,87,45,60,62,13,10,13,11,11,"64","90","73","81","70","75","12","2018-01-01","2027-06-01",0,34,"Holland","Virgil","van Dijk","Virgil","Virgil van Dijk",38944,41535,38944,203376,2202,90,90,"1991-07-08T00:00:00.000Z",32,9,"Liverpool",13,9,6,"liverpool",4,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p203376.png",0,9,4,1014,314,"Right",2,3,5,1,,193,92,"Male",,,"Yes","No",84500000,77500000,66000000,240000,220000,185000,"Power Header, Pinged Pass, Jockey, Anticipate, Bruiser, Aerial","Career Solid Player, Career Leadership","77","59","70","72","90","86","CB","-",false,false,false,"virgil-van-dijk",20,80,82,88,85,70,76,70,70,67,70
89,89,89,91,79,88,75,94,63,93,55,93,89,90,86,90,95,69,59,81,88,38,83,84,43,41,83,88,87,14,14,9,14,11,"83","41","84","82","91","80","13","2017-07-01","2027-06-01",0,111,"Egypt","Mohamed","Salah","M.Salah","Mohamed Salah",25974,33115,23198,209331,2354,91,91,"1992-06-15T00:00:00.000Z",32,9,"Liverpool",13,9,6,"liverpool",11,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p209331.png",0,9,3,1512,25,"Left",4,3,5,2,,175,72,"Male",,,"Yes","No",113500000,104000000,88500000,380000,350000,300000,"Chip Shot, Pinged Pass, Whipped Pass, Technical, First Touch, Trivela","","89","88","84","91","47","76","RM","RW",false,false,false,"mohamed-salah",21,72,67,58,69,89,84,89,89,90,86
60,49,40,37,82,32,78,87,27,66,11,13,66,42,17,27,13,18,29,58,60,15,64,14,19,16,20,19,23,86,85,85,89,90,"28","17","33","54","55","35","87","2018-07-19","2027-06-01",0,54,"Brazil","Alisson","Ramses Becker","A.Becker","Alisson",1598,31359,125,212831,1537,89,89,"1992-10-02T00:00:00.000Z",31,9,"Liverpool",13,9,6,"liverpool",1,13,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p212831.png",3,8,3,1540,312,"Right",1,3,5,2,,193,91,"Male",,,"Yes","No",59500000,54500000,46500000,145000,130000,110000,"Far Throw","Rush Out, Career Injury Prone","55","25","40","50","18","55","GK","-",false,false,false,"alisson-ramses-becker",87,33,32,33,39,41,46,44,41,38,38
90,88,94,75,84,87,74,83,66,84,35,87,89,90,90,93,86,85,71,84,89,45,88,89,50,46,83,92,79,17,11,15,9,13,"84","47","89","85","86","74","13","2019-07-01","2026-06-01",0,36,"Norway","Caroline","Graham Hansen","Graham","Caroline Graham Hansen",6537,46861,13990,227102,2361,90,90,"1995-02-18T00:00:00.000Z",29,116325,"FC Barcelona",2222,10,1,"fc-barcelona",10,2222,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p227102.png",5,8,2,5500,1,"Right",5,5,5,1,,175,59,"Female",,,"Yes","No",128000000,117500000,99500000,61000,56000,48000,"Finesse Shot, Technical, Flair, First Touch, Quick Step, Trivela","","89","85","88","87","49","78","RW","RM",false,false,false,"caroline-graham-hansen",20,71,67,59,67,88,83,88,88,89,85
84,83,90,82,89,87,85,87,70,91,24,90,79,91,70,90,92,68,93,67,78,44,85,85,39,30,92,76,71,7,12,8,13,16,"85","38","79","87","86","71","12","2020-01-01","2026-06-01",0,195,"Australia","Sam","Kerr","Kerr","Sam Kerr",33215,19695,19695,227125,2268,89,89,"1993-09-10T00:00:00.000Z",30,116010,"Chelsea",2216,10,1,"chelsea",20,2216,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p227125.png",0,9,4,7006,8,"Right",4,4,5,1,,168,66,"Female",,,"Yes","No",110500000,101000000,86000000,11500,10500,9000,"Power Header, Rapid, Quick Step, Acrobatic, Aerial","Career Solid Player, Career Leadership","84","86","73","89","46","83","ST","-",false,false,false,"sam-kerr",20,63,60,57,61,83,77,85,87,85,88
81,82,90,89,84,85,78,90,70,92,78,91,91,92,88,90,91,85,74,90,91,60,86,89,81,64,90,89,89,15,17,11,10,15,"87","69","90","85","87","86","14","2012-07-01","2026-06-01",0,45,"Spain","Alexia","Putellas Segura","Alexia","Alexia Putellas",1506,30777,1506,227203,2518,90,90,"1994-02-04T00:00:00.000Z",30,116325,"FC Barcelona",2222,10,1,"fc-barcelona",11,2222,"https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p227203.png",5,7,2,5500,2,"Left",5,5,5,1,,173,69,"Female",,,"Yes","No",124500000,114000000,97000000,57000,53000,45000,"Finesse Shot, Incisive Pass, Pinged Pass, Tiki Taka, Technical, Flair","Career Leadership","82","89","89","91","71","79","CM","CAM",false,false,false,"alexia-putellas-segura",22,81,79,75,81,89,89,90,89,89,87
