attributes.acceleration,attributes.sprintspeed,attributes.agility,attributes.balance,attributes.jumping,attributes.stamina,attributes.strength,attributes.reactions,attributes.aggression,attributes.composure,attributes.interceptions,attributes.positioning,attributes.vision,attributes.ballcontrol,attributes.crossing,attributes.dribbling,attributes.finishing,attributes.freekickaccuracy,attributes.headingaccuracy,attributes.longpassing,attributes.shortpassing,attributes.marking,attributes.shotpower,attributes.longshots,attributes.standingtackle,attributes.slidingtackle,attributes.volleys,attributes.curve,attributes.penalties,attributes.gkdiving,attributes.gkhandling,attributes.gkkicking,attributes.gkreflexes,attributes.gkpositioning,stats.attack,stats.defending,stats.skill,stats.power,stats.movement,stats.mentality,stats.goalkeeper,info.contract.jointeamdate,info.contract.enddate,info.contract.isloanedout,info.nation.id,info.nation.name,info.name.firstname,info.name.lastname,info.name.playerjerseyname,info.name.knownas,info.name.firstnameid,info.name.lastnameid,info.name.playerjerseynameid,info.playerid,info.total_attributes,info.overallrating,info.potential,info.birthdate,info.age,info.teams.club_team.id,info.teams.club_team.name,info.teams.club_team.leagueid,info.teams.club_team.domesticprestige,info.teams.club_team.profitability,info.teams.club_team.slug,info.teams.club_team.jerseynumber,info.league,info.headshot,info.haircolor,info.eyecolor,info.skintone,info.headtype,info.bodytype,info.preferredfoot,info.skillmoves,info.weafoot,info.internationalrep,info.ovrmodifier,info.release_clause,info.height,info.weight,info.gender,info.defensiveworkrate,info.attackingworkrate,info.real_face,info.isretiring,info.valueUSD,info.valueEUR,info.valueGBP,info.wageUSD,info.wageEUR,info.wageGBP,info.traits.trait1,info.traits.trait2,card_attrs.pac,card_attrs.sho,card_attrs.pas,card_attrs.dri,card_attrs.def,card_attrs.phy,primary_position,other_positions,updated,added,removed,slug,real_ovrs.0,real_ovrs.1,real_ovrs.2,real_ovrs.3,real_ovrs.4,real_ovrs.5,real_ovrs.6,real_ovrs.7,real_ovrs.8,real_ovrs.9,real_ovrs.10
85,85,90,94,72,81,61,77,70,84,49,87,90,91,80,93,78,77,56,85,87,49,80,78,39,44,86,89,73,9,8,10,13,8,78,44,87,75,87,76,10,2023-01-09,2026-06-01,0,54,Brazil,Débora C.,de Oliveira,Debinha,Debinha,10324,41448,8983,226893,2258,88,88,1991-10-20T00:00:00.000Z,32,116309,Kansas City Current,2221,5,4,kansas-city-current,99,2221,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p226893.png,0,9,6,7011,423,Right,5,5,4,1,,155,52,Female,,,Yes,No,79000000,72500000,61500000,22500,20500,17500,"Technical, Flair, First Touch, Quick Step, Trivela, Acrobatic",Career Team Player,85,80,85,88,47,71,CAM,RW,True,False,False,debora-c-de-oliveira,16,69,64,56,67,86,82,86,85,85,79
83,79,88,92,93,83,85,92,87,88,48,92,79,84,68,81,93,65,86,72,78,45,87,80,51,44,92,80,74,11,8,8,13,8,84,47,77,86,87,78,10,2018-07-04,2029-06-01,0,52,Argentina,Lautaro,Martínez,Lautaro,Lautaro Martínez,21497,24427,21497,231478,2317,88,88,1997-08-22T00:00:00.000Z,26,131682,Lombardia FC,31,10,3,lombardia-fc,10,31,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p231478.png,21,9,4,1523,393,Right,4,4,4,1,,174,72,Male,,,Yes,No,110500000,101500000,86000000,200000,185000,155000,"Power Shot, Incisive Pass, Technical, Relentless",,81,86,74,88,55,87,ST,-,True,False,False,lautaro-martinez,18,67,65,65,67,81,78,83,85,83,87
90,92,78,67,95,81,86,89,68,80,34,92,70,84,62,80,88,52,89,54,72,36,86,74,45,22,85,63,85,14,14,10,6,9,80,35,67,85,84,72,11,2020-09-01,2025-06-30,1,133,Nigeria,Victor,Osimhen,Osimhen,Victor Osimhen,38735,28863,28863,232293,2152,87,89,1998-12-29T00:00:00.000Z,25,48,Napoli,31,9,1,napoli,45,68,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p232293.png,15,9,10,1037,5,Right,3,4,4,1,,186,77,Male,,,Yes,No,110500000,101500000,86000000,210000,195000,165000,"Chip Shot, Power Header, Rapid, Acrobatic",,91,85,62,80,45,83,ST,-,True,False,False,victor-osimhen,19,61,59,57,59,79,71,79,83,81,86
90,91,88,79,82,88,65,86,77,85,56,86,85,87,86,88,87,79,74,78,83,49,83,82,54,38,72,85,78,8,7,13,14,8,81,47,84,80,87,78,10,2022-07-13,2028-06-01,0,54,Brazil,Raphael,Dias Belloli,Raphinha,Raphinha,31430,9396,31436,233419,2311,88,88,1996-12-14T00:00:00.000Z,27,241,FC Barcelona,53,10,8,fc-barcelona,11,53,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p233419.png,0,3,4,1002,1,Left,4,4,4,2,,176,68,Male,,,Yes,No,106500000,97500000,83000000,240000,220000,190000,"Finesse Shot, Power Shot, Flair, Trickster, Quick Step, Relentless",,91,81,83,86,54,78,LM,RW,True,False,False,raphael-dias-belloli,17,72,69,62,69,86,81,85,86,86,83
90,88,87,84,77,81,59,84,52,85,21,84,85,88,79,90,85,77,67,73,80,24,76,77,34,30,67,82,82,9,8,12,5,8,76,30,82,74,87,69,9,2019-07-01,2028-06-01,0,54,Brazil,Rodrygo,Silva de Goes,Rodrygo,Rodrygo,32209,34828,32209,243812,2130,86,91,2001-01-09T00:00:00.000Z,23,243,Real Madrid,53,10,5,real-madrid,11,53,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p243812.png,0,3,8,1523,1,Right,4,4,4,1,235900000.0,174,64,Male,,,Yes,No,112000000,102500000,87500000,270000,240000,210000,"Finesse Shot, Dead Ball, Technical, Flair",,89,79,79,86,35,67,RW,ST | RM,True,False,False,rodrygo-silva-de-goes,16,62,57,46,57,84,76,84,84,85,80
86,73,89,88,71,70,68,85,44,88,40,86,87,89,80,89,85,89,60,84,85,20,83,87,35,24,86,88,75,6,11,15,8,14,80,27,88,76,85,70,11,2023-07-16,2025-06-01,0,52,Argentina,Lionel,Messi,Messi,Lionel Messi,22218,25380,25380,158023,2188,87,87,1987-06-24T00:00:00.000Z,37,112893,Inter Miami,39,8,8,inter-miami,10,39,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p158023.png,3,3,1,1547,10,Left,4,4,4,1,48000000.0,169,67,Male,,,Yes,No,28000000,26000000,22000000,20000,18500,15500,"Finesse Shot, Dead Ball, Incisive Pass, Technical, Quick Step, Trivela",,80,84,86,88,36,63,RW,ST | CAM,False,False,False,lionel-messi,18,62,57,47,60,84,80,86,85,85,81
76,77,77,72,84,80,81,84,63,84,39,88,86,87,75,84,87,73,87,76,86,43,87,81,24,18,87,82,68,13,11,5,7,5,85,29,81,83,78,72,9,2023-07-01,2026-06-01,0,18,France,Karim,Benzema,Benzema,Karim Benzema,19314,4308,4308,165153,2177,86,86,1987-12-19T00:00:00.000Z,36,607,Al Ittihad,350,8,1,al-ittihad,9,350,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p165153.png,0,3,2,12,2,Right,4,4,4,1,,185,81,Male,,,Yes,No,25500000,23000000,19500000,76000,69000,59000,"Finesse Shot, Incisive Pass, First Touch, Relentless, Trivela",,77,83,80,81,42,77,ST,-,False,False,False,karim-benzema,17,61,57,54,61,82,78,84,84,83,85
48,54,57,58,68,45,68,83,38,54,21,15,64,30,13,22,13,13,10,38,46,9,64,12,19,12,8,12,24,83,82,85,89,87,18,14,23,52,60,36,86,2023-08-07,2026-06-01,0,47,Switzerland,Yann,Sommer,Sommer,Yann Sommer,40239,35264,35264,177683,1444,87,87,1988-12-17T00:00:00.000Z,35,131682,Lombardia FC,31,10,3,lombardia-fc,1,31,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p177683.png,3,3,4,1528,2,Right,1,4,4,2,,183,77,Male,,,Yes,No,9500000,9000000,7500000,66000,60000,51000,,,51,23,31,51,14,55,GK,-,False,False,False,yann-sommer,84,31,30,29,35,36,39,39,36,34,33
76,75,77,83,92,76,89,89,81,87,49,90,81,90,76,85,92,84,88,70,84,35,89,82,42,19,86,79,90,15,6,12,10,8,86,32,82,86,80,80,11,2022-07-18,2026-06-01,0,37,Poland,Robert,Lewandowski,Lewandowski,Robert Lewandowski,32091,21956,21956,188545,2287,89,89,1988-08-21T00:00:00.000Z,35,241,FC Barcelona,53,10,8,fc-barcelona,9,53,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p188545.png,0,8,2,2507,276,Right,4,4,5,1,,185,81,Male,,,Yes,No,48000000,44000000,37500000,230000,210000,180000,"Finesse Shot, Power Shot, Power Header, Incisive Pass, First Touch, Trivela",Career Solid Player,76,88,79,85,47,85,ST,-,False,False,False,robert-lewandowski,18,64,60,60,65,83,79,84,86,84,87
42,52,63,45,68,38,70,88,23,66,15,13,44,23,14,13,14,20,13,35,33,20,57,17,18,16,12,19,27,85,89,76,90,88,18,18,22,50,58,32,86,2018-08-09,2026-06-01,0,7,Belgium,Thibaut,Courtois,Courtois,Thibaut Courtois,37004,7984,7984,192119,1406,89,89,1992-05-11T00:00:00.000Z,32,243,Real Madrid,53,10,5,real-madrid,1,53,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p192119.png,3,3,2,30,13,Left,1,3,5,2,,200,96,Male,,,Yes,No,55500000,51000000,43500000,240000,220000,185000,Far Throw,Cross Claimer,47,23,28,50,16,50,GK,-,False,False,False,thibaut-courtois,87,29,29,29,31,30,32,32,31,29,31
